Name,Label,Owner,Ownership,Proof,ShaNai,Kodomo,Type,Add1,Add2,Y,X,url,TEL,FAX,Full,AgeS,AgeE,Open,Close,H24,Memo,Extra,Temp,Holiday,Night,Vacancy,VacancyDate
ﾆﾁｲｷｯｽﾞ郡山ｴｽﾊﾟﾙ保育園,ﾆﾁｲｷｯｽﾞ郡山ｴｽﾊﾟﾙ保育園,株式会社ニチイ学館　代表取締役　森　信介,私立,,N,N,小規模保育事業Ａ型,郡山市燧田195　,郡山駅エスパル郡山1Ｆ,37.399594,140.388789,,024-927-0417,024-924-0427,19,57日,2歳,7:15,19:15,N,18：15～19：15,Y,N,N,N,,
つばさ保育園,つばさ保育園,株式会社セアリアス　代表取締役　國井　智江美,私立,,N,N,小規模保育事業Ａ型,郡山市桑野四丁目5-9,,37.409097,140.354797,,024-935-5048,024-953-8518,19,57日,2歳,7:30,19:30,N,18：30～19：30,Y,N,N,N,,
あい・サポ文助保育園,あい・サポ文助保育園,郡山市子ども子育て支援企業組合　代表理事　滝田　良子,私立,,N,N,小規模保育事業Ａ型,郡山市桑野四丁目12-11,,37.408157,140.351722,,024-983-1580,024-954-3931,18,57日,2歳,7:30,19:30,N,18：30～19：30,Y,N,N,N,,
たんぽぽ保育園,たんぽぽ保育園,株式会社たんぽぽわた毛の会　代表取締役　伊藤　啓子,私立,,N,N,小規模保育事業Ａ型,郡山市深沢二丁目11-16,,37.387657,140.367589,,024-923-1272,024-923-1272,18,57日,2歳,7:30,19:30,N,18：30～19：30,Y,N,N,N,,
ひかり保育園,ひかり保育園,株式会社光　代表取締役　渡辺　光夫,私立,,N,N,小規模保育事業Ａ型,郡山市谷地本町33,,37.390227,140.333431,,024-961-0245,024-954-5903,19,57日,2歳,7:30,19:30,N,18：30～19：30,Y,N,N,N,,
チャイルドハウスとみた,チャイルドハウスとみた,一般社団法人福島子どもの未来を考える会　代表理事　長尾　トモ子,私立,,N,N,小規模保育事業Ａ型,郡山市富田町字前川原22番地,,37.419539,140.345133,,024-951-9001,024-953-6070,18,6か月,2歳,7:30,19:30,N,18：30～19：30,Y,N,N,N,,
きらきらげんき保育園,きらきらげんき保育園,社会福祉法人郡山清和救護園　理事長　難波　朝重,私立,,N,N,小規模保育事業Ａ型,郡山市希望ヶ丘31-7,,37.409358,140.342919,,024-983-0751,,19,57日,2歳,7:30,19:30,N,18：30～19：30,Y,N,N,N,,
ココカラ虎丸,ココカラ虎丸,株式会社ピーエイケア　代表取締役　加藤　雄二,私立,,N,N,小規模保育事業Ａ型,郡山市虎丸町8-2,,37.398198,140.373022,,024-953-7727,,19,6か月,2歳,7:30,19:30,N,18：30～19：30,Y,N,N,N,,
ココカラ安積,ココカラ安積,株式会社ピーエイケア　代表取締役　加藤　雄二,私立,,N,N,小規模保育事業Ａ型,郡山市八作内65-2,,37.376839,140.385971,,024-983-5105,,19,6か月,2歳,7:30,19:30,N,18：30～19：30,Y,N,N,N,,
なごみ保育園,なごみ保育園,特定非営利活動法人なごみ会　理事長　遠藤　和江,私立,,N,N,小規模保育事業Ａ型,郡山市富田町字上赤沼34-105,,37.430961,140.345329,,024-961-0753,024-961-0753,19,57日,2歳,7:30,19:30,N,18：30～19：30,Y,N,N,N,,
ほしのこ保育園,ほしのこ保育園,公益財団法人星総合病院　理事長　星　北斗,私立,,Y,N,事業所内保育事業（定員20人以上）,郡山市字向河原町159-1,,37.40157732,140.3930585,,024-983-5519,024-983-5588,23,57日,2歳,7:30,19:30,N,18：30～19：30,Y,N,N,N,,
星ヶ丘保育園,星ヶ丘保育園,公益財団法人星総合病院　理事長　星　北斗,私立,,Y,N,事業所内保育事業（定員20人以上）,郡山市片平町字北三天7-3,,37.436049,140.32042,,024-951-0788,024-983-5655,15,57日,2歳,7:30,19:30,N,18：30～19：30,Y,N,N,N,,
幼保連携型認定こども園　希望ヶ丘こども園,幼保連携型認定こども園　希望ヶ丘こども園,学校法人成田学園　理事長　成田　克俊,私立,,N,Y,幼保連携型認定こども園,郡山市富田町字十文字31,,37.413602,140.344274,,024-951-0443,024-951-0443,210,6か月,5歳,7:30※1号認定は8：30,19:30※1号認定は13：30,N,18：30～19：30,Y,N,N,N,,
幼保連携型認定こども園　菜根こども園,幼保連携型認定こども園　菜根こども園,学校法人堀内学園　理事長　堀内　恵梨子,私立,,N,Y,幼保連携型認定こども園,郡山市菜根一丁目13-20,,37.387687,140.36352,,024-954-6800,024-954-6802,90,3か月,5歳,7:00,19:00,N,18：00～19：00,Y,Y,N,N,,
幼保連携型認定こども園　エムポリアムこども園,幼保連携型認定こども園　エムポリアムこども園,学校法人エムポリアム学園　理事長　金田　岩光,私立,,N,Y,幼保連携型認定こども園,郡山市堤下町5-15,,37.390433,140.379612,,024-932-1048,024-922-2731,186,6か月,5歳,7:30,19:30,N,18:30～19：30,Y,N,N,N,,
わかば幼稚園,わかば幼稚園,学校法人吉野学園学園　理事長　山口　仁,私立,,N,Y,幼保連携型認定こども園,郡山市安積町大森町34,,37.344371,140.343194,,024-945-6035,,85,6か月,5歳,7:30,19:30,N,18:30～19：30,Y,N,N,N,,
認定こども園　こはらだようちえん,認定こども園　こはらだようちえん,学校法人小原田学園　理事長　阿部　光浩,私立,,N,Y,幼保連携型認定こども園,郡山市小原田二丁目20-15,,37.38225,140.389026,,024-944-2255,,81,6か月,5歳,7:30,19:30,N,18:30～19：30,Y,N,N,N,,
アゴラキンダーガーテン,アゴラキンダーガーテン,,私立,Y,N,N,認可外保育所,郡山市桃見台7-14,,37.40351,140.370576,,024-973-8742,024-973-8743,25,2歳半,,9:00,13:00,N,あり,Y,N,N,N,,
カンガルーチャイルドクラブ,カンガルーチャイルドクラブ,,私立,Y,N,N,認可外保育所,郡山市富田町字上西田30-3,,37.41056,140.334742,,024-952-4651,024-952-4651,40,2か月,,7:30,18:30,N,あり,Y,Y,N,N,,
キッズルーム・パオ,キッズルーム・パオ,,私立,Y,N,N,認可外保育所,郡山市清水台一丁目123,,37.398015,140.38006,,024-983-0350,024-983-0360,50,2か月,,7:20,18:30,N,あり,Y,Y,N,N,,
小金林保育園,小金林保育園,,私立,Y,N,N,認可外保育所,郡山市大槻町字小金林23-15,,37.401131,140.335212,,024-951-6730,024-951-1874,180,3か月,,7:00,19:30,N,あり,Y,N,N,N,,
木の実保育園,木の実保育園,,私立,Y,N,N,認可外保育所,郡山市久留米五丁目34,,37.378155,140.349089,,024-953-3024,024-953-3026,20,6か月,1歳,8:00,18:00,N,あり,Y,Y,N,N,,
食育保育園 豆の木ハウス　安積,豆の木ハウス　安積,,私立,Y,N,N,認可外保育所,郡山市安積町荒井字大池70,,37.370596,140.349099,,024-946-4440,024-946-4441,85,3か月,,7:30,18:00,N,あり,Y,Y,N,N,,
食育保育園 豆の木ハウス　大槻,豆の木ハウス　大槻,,私立,Y,N,N,認可外保育所,郡山市大槻町字原田39-131,,37.37996,140.342199,,024-962-4441,024-962-4443,75,3か月,,7:30,18:00,N,あり,Y,Y,N,N,,
チャイルドハウスうねめ,チャイルドハウスうねめ,,私立,Y,N,N,認可外保育所,郡山市富田町字上鶴蒔田6-34,,37.417848,140.335459,,024-951-0304,024-951-8961,60,6か月,,7:30,18:30,N,あり,Y,N,N,N,,
菜の花保育園,菜の花保育園,,私立,Y,N,N,認可外保育所,郡山市久留米五丁目37-1,,37.378001,140.349108,,024-946-2784,024-953-3026,32,2歳,,7:30,18:30,N,あり,Y,Y,N,N,,
ひよこ保育園,ひよこ保育園,,私立,Y,N,N,認可外保育所,郡山市富久山町久保田字上野20-1,長谷川ﾋﾞﾙ,37.413413,140.389192,,024-933-1450,024-933-1450,66,2か月,,7:30,18:30,N,あり,Y,N,N,N,,
ベビールームスキップ,ベビールームスキップ,,私立,Y,N,N,認可外保育所,郡山市本町二丁目24-11,,37.390801,140.383443,,024-932-3220,024-932-9118,40,2か月,,8:00,4:00,Y,あり,Y,Y,N,Y,,
ユーパロ中町保育園,ユーパロ中町保育園,,私立,Y,N,N,認可外保育所,郡山市中町11-5,やまのいビル3F,37.397831,140.385101,,024-925-1539,024-925-1539,40,6か月,,7:30,4:00,N,,N,Y,N,Y,,
わかくさ保育園,わかくさ保育園,,私立,Y,N,N,認可外保育所,郡山市喜久田町字四十坦12-11,,37.427217,140.362958,,024-935-1600,024-935-1600,105,6か月,,7:30,18:30,N,あり,Y,N,N,N,,
アルゴ幼稚舎保育園,アルゴ幼稚舎保育園,,私立,Y,N,N,認可外保育所,郡山市安積町成田字田向150-276,,37.351433,140.338425,,050-1226-2134,024-900-2606,53,2か月,,7:15,19:00,N,,N,Y,N,N,,
すぎのこ保育園,すぎのこ保育園,,私立,Y,N,N,認可外保育所,郡山市八山田五丁目42,,37.424242,140.367025,,024-921-3545,024-921-3560,75,2か月,,7:30,19:00,N,あり,Y,N,N,N,,
託児所ぞうさん,託児所ぞうさん,,私立,Y,N,N,認可外保育所,郡山市横塚一丁目9-24,,37.395719,140.399086,,024-944-9852,024-944-9852,17,3か月,,7:30,18:30,N,あり,Y,Y,N,N,,
知育保育園いちごルーム,知育保育園いちごルーム,,私立,Y,N,N,認可外保育所,郡山市笹川一丁目184-32,,37.363042,140.37094,,024-947-7128,024-947-7128,15,3か月,3歳,8:00,18:00,N,あり,Y,Y,N,N,,
虹保育園,虹保育園,,私立,Y,N,N,認可外保育所,郡山市久留米二丁目35-8,,37.379399,140.358634,,024-983-6875,024-983-6875,30,2か月,4歳,7:30,18:30,N,あり,Y,Y,N,N,,
パートナーキッズ保育園,パートナーキッズ保育園,,私立,Y,N,N,認可外保育所,郡山市中野一丁目54-1,,37.391935,140.331731,,024-962-0711,,25,4か月,,7:30,18:30,N,あり,Y,N,N,N,,
一般社団法人ヒューマニティー幼保学園鳴神校,ヒューマニティー幼保学園鳴神校,,私立,Y,N,N,認可外保育所,郡山市鳴神三丁目197,,37.392224,140.336582,,024-951-0715,024-951-0005,96,3か月,,7:15,19:00,N,あり,Y,N,N,N,,
一般社団法人ヒューマニティー幼保学園富田校,ヒューマニティー幼保学園富田校,,私立,Y,N,N,認可外保育所,郡山市富田町字中ノ目41,,37.420993,140.336256,,024-953-8330,024-953-8331,96,1歳,,7:30,18:30,N,あり,Y,N,N,N,,
